Lionel Messi,24-06-1987,170,72,Argentina,Inter Miami
Cristiano Ronaldo,05-02-1985,187,83,Portugal,Al Nassr
Kylian Mbappe,20-12-1998,178,73,France,Paris Saint-Germain
Erling Haaland,21-07-2000,194,88,Norway,Manchester City
Kevin De Bruyne,28-06-1991,181,70,Belgium,Manchester City
Neymar Jr,05-02-1992,175,68,Brazil,Al Hilal
Luka Modric,09-09-1985,172,66,Croatia,Real Madrid
Virgil van Dijk,08-07-1991,193,92,Netherlands,Liverpool
Harry Kane,28-07-1993,188,86,England,Bayern Munich
Robert Lewandowski,21-08-1988,185,81,Poland,Barcelona
